225013001	Feeling bad	Feeling bad
414469009	Impending shock	Impending shock
3848011000036104	Pravachol	Pravachol
77424011000036100	ubidecarenone	ubidecarenone
22253000	Pain	Pain
22253000	Pain	Pain
3191011000036109	Prinivil	Prinivil
248490000	Bloating symptom	Bloating symptom
68962001	Myalgia	Myalgia
57676002	Arthralgia	Arthralgia
422587007	Nausea	Nausea
25064002	Headache	Headache
22253000	Pain	Pain
30989003	Knee pain	Knee pain
3877011000036101	Lipitor	Lipitor
25064002	Headache	Headache
248490000	Bloating symptom	Bloating symptom
35678005	Arthralgia of multiple joints	Arthralgia of multiple joints
422587007	Nausea	Nausea
68962001	Myalgia	Myalgia
248277009	Lack of stamina	Lack of stamina
68962001	Myalgia	Myalgia
77424011000036100	ubidecarenone	ubidecarenone
35489007	Depression	Depression
68962001	Myalgia	Myalgia
62315008	Diarrhoea	Diarrhoea
22253000	Pain	Pain
69215007	Intolerant of heat	Intolerant of heat
81680005	Neck pain	Neck pain
90673000	Burning sensation	Burning sensation
386807006	Memory impairment	Memory impairment
3877011000036101	Lipitor	Lipitor
13791008	Asthenia	Asthenia
3877011000036101	Lipitor	Lipitor
57676002	Arthralgia	Arthralgia
80449002	Muscle fatigue	Muscle fatigue
225014007	Feeling empty	Feeling empty
55300003	Muscle cramp	Muscle cramp
224960004	Tired	Tired
3572011000036102	Mobic	Mobic
22298006	Myocardial infarction	Myocardial infarction
266257000	Transient ischaemic attack	Transient ischaemic attack
3877011000036101	Lipitor	Lipitor
422587007	Nausea	Nausea
33308003	Disorder of back	Disorder of back
22253000	Pain	Pain
3559011000036109	Zoloft	Zoloft
3877011000036101	Lipitor	Lipitor
48167000	Amnesia	Amnesia
62315008	Diarrhoea	Diarrhoea
22253000	Pain	Pain
25064002	Headache	Headache
22253000	Pain	Pain
3877011000036101	Lipitor	Lipitor
279038004	Thoracic back pain	Thoracic back pain
8357008	Reduced libido	Reduced libido
131148009	Bleeding	Bleeding
3877011000036101	Lipitor	Lipitor
282195009	Difficulty walking up stairs	Difficulty walking up stairs
81680005	Neck pain	Neck pain
162059005	Upset stomach	Upset stomach
271713000	General unsteadiness	General unsteadiness
429340002	Traumatic injury of skeletal muscle	Traumatic injury of skeletal muscle
699302001	Lumbar arthritis	Lumbar arthritis
22253000	Pain	Pain
62507009	Pins and needles	Pins and needles
48694002	Anxiety	Anxiety
288231001	Myalgia/myositis - lower leg	Myalgia/myositis - lower leg
25064002	Headache	Headache
57406009	Carpal tunnel syndrome	Carpal tunnel syndrome
161833006	Abnormal weight gain	Abnormal weight gain
3877011000036101	Lipitor	Lipitor
73211009	Diabetes mellitus	Diabetes mellitus
50219008	Hoarse	Hoarse
84229001	Fatigue	Fatigue
300954003	Pain in calf	Pain in calf
84229001	Fatigue	Fatigue
3877011000036101	Lipitor	Lipitor
22253000	Pain	Pain
308925008	Digestive symptom	Digestive symptom
128601007	Infectious disease of lung	Infectious disease of lung
3904011000036106	Zocor	Zocor
22253000	Pain	Pain
48167000	Amnesia	Amnesia
44077006	Numbness	Numbness
22253000	Pain	Pain
64379006	Decrease in appetite	Decrease in appetite
77424011000036100	ubidecarenone	ubidecarenone
47933007	Foot pain	Foot pain
230645003	Compression neuropathy of trunk	Compression neuropathy of trunk
57676002	Arthralgia	Arthralgia
3877011000036101	Lipitor	Lipitor
3877011000036101	Lipitor	Lipitor
68962001	Myalgia	Myalgia
297144002	Swollen feet	Swollen feet
3877011000036101	Lipitor	Lipitor
30989003	Knee pain	Knee pain
3384011000036100	Arthrotec	Arthrotec
57676002	Arthralgia	Arthralgia
48167000	Amnesia	Amnesia
3384011000036100	Arthrotec	Arthrotec
3877011000036101	Lipitor	Lipitor
80690008	Degenerative disease of the central nervous system	Degenerative disease of the central nervous system
44077006	Numbness	Numbness
62315008	Diarrhoea	Diarrhoea
37796009	Migraine	Migraine
22253000	Pain	Pain
267039000	Swollen ankle	Swollen ankle
56265001	Heart disease	Heart disease
193462001	Insomnia	Insomnia
25064002	Headache	Headache
68962001	Myalgia	Myalgia
426899007	Pain provoked by walking	Pain provoked by walking
228158008	Walking disability	Walking disability
129103003	Endometriosis	Endometriosis
22253000	Pain	Pain
271681002	Stomach ache	Stomach ache
449917004	Cramp in lower limb	Cramp in lower limb
57676002	Arthralgia	Arthralgia
230690007	Cerebrovascular accident	Cerebrovascular accident
387603000	Impairment of balance	Impairment of balance
77435011000036104	ascorbic acid	ascorbic acid
3904011000036106	Zocor	Zocor
3877011000036101	Lipitor	Lipitor
48694002	Anxiety	Anxiety
22253000	Pain	Pain
247640008	Unable to think clearly	Unable to think clearly
86044005	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis
57676002	Arthralgia	Arthralgia
21930011000036101	ezetimibe	ezetimibe
246636008	Blurred vision - hazy	Blurred vision - hazy
45326000	Shoulder pain	Shoulder pain
49218002	Hip pain	Hip pain
32643011000036106	potassium	potassium
162076009	Excessive upper gastrointestinal gas	Excessive upper gastrointestinal gas
49218002	Hip pain	Hip pain
3877011000036101	Lipitor	Lipitor
77424011000036100	ubidecarenone	ubidecarenone
3877011000036101	Lipitor	Lipitor
56731001	Hypertonia	Hypertonia
68962001	Myalgia	Myalgia
55300003	Muscle cramp	Muscle cramp
449917004	Cramp in lower limb	Cramp in lower limb
35489007	Depression	Depression
300650009	Difficulty riding a bicycle	Difficulty riding a bicycle
76948002	Severe pain	Severe pain
73595000	Stress	Stress
22253000	Pain	Pain
167232003	Urine: dark/concentrated	Urine: dark/concentrated
53430007	Mastalgia	Mastalgia
3424008	Tachycardia	Tachycardia
76948002	Severe pain	Severe pain
